Particle_no,Area,Convex area,Perimeter,Convex_Perimeter,Max_Feret,Min_Feret,Aspect_ratio,Feret_aspect_ratio,Circularity,Convexity,Solidity,Equi_diameter,Compactness,Fiber_length,Curl,Average_fiber_diameter,Fiber_elongation
0,337,542,156.853,91.7011,38.0789,21.6333,56.0713,0.568118,0.503605,0.584632,0.621771,20.7143,0.172129,42,0.90664,8.02381,0.191043
1,259,295,75.598,66.3358,25.6125,18.0278,61.5969,0.703866,0.739629,0.877481,0.877966,18.1595,0.569494,22,1.1642,11.7727,0.535124
2,46.5,52.5,29.5563,28.2827,11.4018,6.40312,27.2523,0.561591,0.730501,0.956908,0.885714,7.69452,0.6689,5,2.28035,9.3,1.86
3,5.5,5.5,10.2426,10.2426,4.47214,2.23607,11.0565,0.5,0.658793,1,1,2.64628,0.658793,5,0.894427,1.1,0.22
4,22,30,25.3137,23.0088,9.84886,5.09902,17.5213,0.517727,0.522211,0.908945,0.733333,5.29257,0.431441,9,1.09432,2.44444,0.271605
5,97.5,136.5,57.3553,47.8958,20.2485,9.84886,31.8147,0.4864,0.534097,0.835071,0.714286,11.1419,0.372449,19,1.06571,5.13158,0.270083
6,102.5,120.5,49.2132,45.3207,19.105,8.60233,34.9796,0.450266,0.627105,0.920905,0.850622,11.424,0.531827,15,1.27366,6.83333,0.455556
7,236.5,267.5,72.1838,66.793,26.2488,15.6205,54.777,0.595094,0.666161,0.925319,0.884112,17.3528,0.570377,19,1.38152,12.4474,0.655125
8,17.5,22,19.8995,18.2847,7,4.47214,18.9074,0.638877,0.657768,0.918852,0.795455,4.72035,0.555346,7,1,2.5,0.357143
9,36,43.5,28.1421,24.7532,8.544,7.07107,28.3423,0.827606,0.738329,0.879578,0.827586,6.77028,0.571213,7,1.22057,5.14286,0.734694
10,279.5,464,139.64,81.1916,27.8029,23.1948,63.9867,0.83426,0.532806,0.581437,0.602371,18.8645,0.180125,34,0.817732,8.22059,0.241782
11,73,84.5,39.799,36.32,14.7648,8,32.1965,0.541828,0.69541,0.912586,0.863905,9.64088,0.579147,9,1.64054,8.11111,0.901235
12,118,166,65.1127,49.0874,18.2483,12.53,42.1898,0.686638,0.615392,0.753884,0.710843,12.2573,0.349752,18,1.01379,6.55556,0.364198
13,60,66.5,33.3137,31.8559,12.1655,7.07107,31.8863,0.581238,0.74299,0.956238,0.902256,8.74039,0.679384,9,1.35173,6.66667,0.740741
14,6,6.5,10.8284,10.6503,4.47214,2.23607,12.0598,0.5,0.66472,0.983548,0.923077,2.76395,0.643029,4,1.11803,1.5,0.375
15,51.5,59.5,35.5563,33.8769,15.2971,6.08276,23.4817,0.397643,0.563911,0.952765,0.865546,8.09764,0.511897,16,0.956066,3.21875,0.201172
16,99,120.5,52.2843,49.0344,21.9317,8,29.595,0.364769,0.51742,0.937842,0.821577,11.2272,0.455096,18,1.21843,5.5,0.305556
17,24.5,29,22.7279,21.1263,8.06226,4.24264,21.5642,0.526235,0.689811,0.929529,0.844828,5.58519,0.596014,5,1.61245,4.9,0.98
18,25,37.5,28.1421,24.3095,9.48683,5.09902,19.6714,0.537484,0.531614,0.863813,0.666667,5.6419,0.396676,11,0.862439,2.27273,0.206612
19,20,21.5,18.4853,18.0552,7.28011,4.12311,19.4956,0.566352,0.770966,0.976734,0.930233,5.04627,0.735509,7,1.04002,2.85714,0.408163
20,127.5,165,60.1838,49.2743,18.0278,12.2066,45.1101,0.677098,0.659901,0.818731,0.772727,12.7412,0.442345,17,1.06046,7.5,0.441176
21,25.5,28.5,21.8995,20.4628,7.61577,5.83095,23.4194,0.765641,0.765276,0.934398,0.894737,5.69804,0.668162,6,1.2693,4.25,0.708333
22,32,38,25.3137,23.3006,8.94427,6.32456,24.7398,0.707107,0.740674,0.920472,0.842105,6.38308,0.62755,6,1.49071,5.33333,0.888889
23,178.5,218,82.5269,70.495,31.0644,10.198,37.4643,0.328286,0.451369,0.854206,0.818807,15.0756,0.329349,32,0.970764,5.57813,0.174316
24,496,572,116.711,94.6818,38.8973,20.5183,74.2717,0.527499,0.695279,0.811252,0.867133,25.1302,0.457583,37,1.05128,13.4054,0.362308
25,169,199.5,71.598,59.4258,25.4951,10.4403,41.8396,0.409503,0.601377,0.829993,0.847118,14.6689,0.414281,27,0.944263,6.25926,0.231824
26,81,96,40.6274,36.9389,13.6015,9.48683,37.2425,0.697486,0.745981,0.909211,0.84375,10.1554,0.616675,9,1.51127,9,1
27,135,182.5,61.4558,56.2258,22.3607,10.198,38.7337,0.45607,0.536627,0.914898,0.739726,13.1106,0.449177,22,1.01639,6.13636,0.278926
28,25.5,47,34.3848,27.3247,10.2956,5.83095,20.2333,0.566352,0.429181,0.794673,0.542553,5.69804,0.27103,10,1.02956,2.55,0.255
29,156.5,236,88.3259,60.8475,22.0907,15.1327,44.5,0.685027,0.531176,0.688898,0.663136,14.116,0.252086,22,1.00412,7.11364,0.323347
30,195.5,320.5,104.811,71.2196,28.6531,17.8885,44.6407,0.624314,0.484349,0.679503,0.609984,15.7771,0.223636,32,0.895409,6.10938,0.190918
31,329,424,106.426,94.0311,41.3038,16.4012,49.0047,0.397088,0.467588,0.883531,0.775943,20.4669,0.365012,43,0.960552,7.65116,0.177934
32,183,201,62.2843,57.1145,23.3452,12.0416,47.883,0.515805,0.704965,0.916998,0.910448,15.2644,0.592795,18,1.29696,10.1667,0.564815
33,7.5,8.5,12.2426,11.8863,4.47214,3.60555,14.0698,0.806226,0.667074,0.970898,0.882353,3.09019,0.628812,4,1.11803,1.875,0.46875
34,274.5,411,135.095,116.26,55.4437,9.84886,32.4423,0.177637,0.255205,0.86058,0.667883,18.695,0.189004,44,1.26008,6.23864,0.141787
35,197.5,236.5,67.3553,58.7067,22.8035,14.3178,52.8215,0.627878,0.720115,0.871597,0.835095,15.8576,0.547057,16,1.42522,12.3438,0.771484
36,213,291,79.598,64.7528,24.4131,18.2483,53.3309,0.747479,0.638371,0.813498,0.731959,16.4682,0.42246,25,0.976524,8.52,0.3408
37,187,215.5,66.2843,57.849,23.8537,13.0384,48.5166,0.546598,0.702199,0.872741,0.867749,15.4304,0.534848,18,1.32521,10.3889,0.57716
38,261.5,438.5,120.125,82.1373,30.5287,21.6333,54.2949,0.708623,0.48708,0.683766,0.596351,18.247,0.227728,35,0.872248,7.47143,0.213469
39,1528,2521.5,430.701,221.96,98.4073,34.0588,92.1788,0.3461,0.38975,0.515345,0.605988,44.1079,0.10351,92,1.06964,16.6087,0.180529
40,134,230,90.9117,58.4956,19.9249,17.4929,45.8257,0.877941,0.492116,0.643434,0.582609,13.0619,0.203739,27,0.737958,4.96296,0.183813
41,108.5,121,45.2132,41.517,15.2971,10.7703,43.8461,0.704078,0.791019,0.91825,0.896694,11.7536,0.666974,12,1.27475,9.04167,0.753472
42,110,139,53.9411,48.2032,19.4165,11.6619,35.5727,0.600619,0.594909,0.893627,0.791367,11.8345,0.475075,19,1.02192,5.78947,0.304709
43,1442.5,4477.5,587.37,338.457,154.052,64.3817,58.1089,0.417922,0.158241,0.576224,0.322166,42.8561,0.0525415,162,0.950938,8.90432,0.0549649
44,56.5,76,43.2132,34.4679,13.8924,7.61577,28.114,0.548195,0.597624,0.797625,0.743421,8.48163,0.380212,13,1.06865,4.34615,0.33432
45,191,265,92.9117,66.192,26.4197,15.8114,46.5543,0.59847,0.547813,0.712419,0.720755,15.5945,0.278037,28,0.94356,6.82143,0.243622
46,107.5,131.5,52.0416,47.2372,19.105,10.0499,35.8949,0.526035,0.60541,0.907681,0.81749,11.6993,0.498789,20,0.955249,5.375,0.26875
47,36.5,40,25.5563,24.7055,9.84886,5.65685,24.7359,0.574367,0.751478,0.966706,0.9125,6.81713,0.702272,7,1.40698,5.21429,0.744898
48,104,139.5,61.1127,45.4422,17.2047,11.0454,39.8271,0.641999,0.632884,0.743581,0.74552,11.5073,0.349929,20,0.860233,5.2,0.26
49,77.5,135,63.3553,47.246,16.7631,14.2127,33.052,0.847857,0.436296,0.745731,0.574074,9.93358,0.24263,20,0.838153,3.875,0.19375
50,147.5,224,96.669,56.5508,21.4709,14.8661,46.6929,0.692382,0.579595,0.584994,0.658482,13.7041,0.198348,31,0.69261,4.75806,0.153486
51,209.5,419,123.439,83.5087,34.8855,19.8494,38.9774,0.568988,0.377512,0.67652,0.5,16.3323,0.172779,33,1.05714,6.34848,0.192378
52,48,57.5,32.9706,29.6192,11.1803,7.81025,28.9196,0.69857,0.687548,0.898354,0.834783,7.81764,0.554879,9,1.24226,5.33333,0.592593
53,137.5,234,100.468,57.5674,21.6333,15.1327,42.3749,0.699511,0.521386,0.572992,0.587607,13.2314,0.171181,25,0.865332,5.5,0.22
54,60.5,85,44.8701,34.0488,12.2066,9.43398,33.0539,0.772862,0.655786,0.758831,0.711765,8.77673,0.377617,13,0.938966,4.65385,0.357988
55,67.5,76,37.5563,34.616,13.6015,7.07107,31.1621,0.519875,0.70788,0.921709,0.888158,9.27058,0.601377,13,1.04627,5.19231,0.399408
56,1102,1550.5,215.966,155.46,56.5155,33.5261,113.955,0.59322,0.573,0.719837,0.710738,37.4581,0.296909,67,0.843515,16.4478,0.245489
57,59,80,40.2843,35.1503,13.3417,8.60233,29.324,0.644772,0.600071,0.872558,0.7375,8.66724,0.456868,11,1.21288,5.36364,0.487603
58,280,331.5,82.5685,67.9407,24.3516,19.2354,69.3971,0.789903,0.762268,0.82284,0.844646,18.8814,0.516106,26,0.9366,10.7692,0.414201
59,63.5,70.5,34.3848,32.8956,13.3417,7.61577,30.2888,0.570826,0.737408,0.956691,0.900709,8.9917,0.674918,1,13.3417,63.5,63.5
60,29.5,33,23.8995,22.5366,8.94427,5.38516,23.0539,0.60208,0.729884,0.942975,0.893939,6.12867,0.649015,6,1.49071,4.91667,0.819444
61,140,199,90.0833,61.8032,27.1662,9.84886,35.0033,0.362541,0.460592,0.686067,0.703518,13.3512,0.216795,25,1.08665,5.6,0.224
62,9.5,13,17.5563,15.6569,6.40312,2.82843,12.6364,0.441726,0.486995,0.891806,0.730769,3.4779,0.387316,5,1.28062,1.9,0.38
63,50.5,64.5,35.2132,31.8586,12.1655,8.06226,27.6554,0.662714,0.625242,0.904734,0.782946,8.01864,0.511788,12,1.01379,4.20833,0.350694
64,86.5,113,54.8701,48.3698,21.095,7.28011,27.6141,0.34511,0.464598,0.881534,0.765487,10.4945,0.36104,20,1.05475,4.325,0.21625
65,80.5,91.5,38.8701,35.0255,12.3693,10,40.1959,0.808452,0.824589,0.901092,0.879781,10.124,0.669538,9,1.37437,8.94444,0.993827
66,6.5,11.5,17.0711,14.5373,5.83095,3,12.0691,0.514496,0.386505,0.851576,0.565217,2.87681,0.280286,5,1.16619,1.3,0.26
67,22,25.5,21.3137,20.6018,8.24621,5,19.2445,0.606339,0.651361,0.966599,0.862745,5.29257,0.608576,7,1.17803,3.14286,0.44898
68,109.5,115.5,40.3848,39.5382,13.4164,12.0416,49.7048,0.897527,0.880216,0.979038,0.948052,11.8076,0.843701,3,4.47214,36.5,12.1667
69,373.5,455.5,119.64,105.264,49.0408,13.0384,46.8368,0.265869,0.423585,0.879842,0.819978,21.8072,0.327907,45,1.0898,8.3,0.184444
70,207,243.5,77.2548,61.9569,24.7386,12.3693,51.7094,0.5,0.677642,0.801981,0.850103,16.2345,0.435842,25,0.989545,8.28,0.3312
71,210.5,317,97.0122,77.6032,32.311,13.6015,42.2635,0.420955,0.439241,0.799932,0.664038,16.3712,0.281067,29,1.11417,7.25862,0.250297
72,5,5,8.82843,8.82843,3.16228,2.23607,13.2096,0.707107,0.806145,1,1,2.52313,0.806145,3,1.05409,1.66667,0.555556
73,73.5,132.5,64.1838,45.9153,18.0278,9.43398,29.0194,0.523303,0.438109,0.715372,0.554717,9.67384,0.224206,17,1.06046,4.32353,0.254325
74,122,248,106.711,64.6902,26.4197,12.083,33,0.45735,0.366347,0.60622,0.491935,12.4634,0.134634,32,0.825615,3.8125,0.119141
75,12,12.5,14.4853,14.3071,5.83095,3.16228,15.2872,0.542326,0.736692,0.987702,0.96,3.90882,0.718683,4,1.45774,3,0.75
76,25,32,25.3137,23.6662,9.21954,5,19.9164,0.542326,0.560909,0.934917,0.78125,5.6419,0.490273,8,1.15244,3.125,0.390625
77,74.5,85,38.0416,35.1302,12.8062,8.94427,35.0725,0.69843,0.758587,0.923467,0.876471,9.73942,0.646916,12,1.06719,6.20833,0.517361
78,29.5,35,25.5563,23.0647,9.21954,5.09902,22.2276,0.553066,0.696848,0.902502,0.842857,6.12867,0.567589,7,1.31708,4.21429,0.602041
79,140.5,177.5,66.5269,51.7079,19.4165,13.0384,45.9973,0.671512,0.660347,0.777248,0.791549,13.375,0.398925,21,0.924595,6.69048,0.318594
